,Date,Close,Bitcoins_in_circulation,BlockSize,TransactionsPerBlock
0,3-Jan-09,0.0,50.0,0.0,1.0
1,5-Jan-09,0.0,50.0,0.0,1.0
2,7-Jan-09,0.0,50.0,0.0,1.0
3,9-Jan-09,0.0,750.0,0.0,1.0
4,11-Jan-09,0.0,7600.0,0.0,1.0
5,13-Jan-09,0.0,17800.0,0.0,1.0
6,15-Jan-09,0.0,30450.0,0.0,1.0
7,17-Jan-09,0.0,41650.0,0.0,1.0
8,19-Jan-09,0.0,52650.0,0.0,1.0
9,21-Jan-09,0.0,64100.0,0.0,1.0
10,23-Jan-09,0.0,71200.0,0.0,1.0
11,25-Jan-09,0.0,90850.0,0.0,1.0
12,27-Jan-09,0.0,101800.0,0.0,1.0
13,29-Jan-09,0.0,113050.0,0.0,1.0
14,31-Jan-09,0.0,125550.0,0.0,1.0
15,2-Feb-09,0.0,137700.0,0.0,1.0
16,4-Feb-09,0.0,150650.0,0.0,1.0
17,6-Feb-09,0.0,163150.0,0.0,1.0
18,8-Feb-09,0.0,176150.0,0.0,1.0
19,10-Feb-09,0.0,188900.0,0.0,1.0
20,12-Feb-09,0.0,201350.0,0.0,1.0
21,14-Feb-09,0.0,214600.0,0.0,1.0
22,16-Feb-09,0.0,226850.0,0.0,1.0
23,18-Feb-09,0.0,238950.0,0.0,1.0
24,20-Feb-09,0.0,251200.0,0.0,1.0
25,22-Feb-09,0.0,262750.0,0.0,1.0
26,24-Feb-09,0.0,273650.0,0.0,1.0
27,26-Feb-09,0.0,283800.0,0.0,1.0
28,28-Feb-09,0.0,295050.0,0.0,1.0
29,2-Mar-09,0.0,305550.0,0.0,1.0
30,4-Mar-09,0.0,316150.0,0.0,1.0
31,6-Mar-09,0.0,327350.0,0.0,1.0
32,8-Mar-09,0.0,338500.0,0.0,1.0
33,10-Mar-09,0.0,349400.0,0.0,1.0
34,12-Mar-09,0.0,360700.0,0.0,1.0
35,14-Mar-09,0.0,372200.0,0.0,1.0
36,16-Mar-09,0.0,384250.0,0.0,1.0
